basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	linenumb	relhead	relmom	relindex	sex	monbirth	yearbirt	age	gradecom	vocation	inschool
28	167	167	13046	23046	1	2	1	0	3	2	3	1961	46	6	0	0
28	167	167	13046	23046	1	3	5	5	7	2	4	1990	17	-9	0	-9
28	167	167	13046	23046	1	4	4	4	6	1	10	1992	15	-9	0	-9
28	167	167	13046	23046	1	5	4	4	6	1	10	1998	9	-9	0	-9
28	167	167	13046	23046	1	6	4	4	6	1	10	1988	19	-9	0	-9
28	167	167	13046	23046	1	7	20	20	22	2	12	1988	18	-9	0	-9
28	167	167	13046	23046	1	8	4	4	34	1	2	1984	23	11	0	0
28	167	167	13046	23046	1	9	20	20	1	2	4	1981	26	-9	0	-9
28	167	167	13046	23046	1	10	8	8	4	1	8	2007	0	-9	0	-9
28	100	100	12984	22984	1	1	0	1	2	1	1	1964	43	-9	0	-9
28	100	100	12984	22984	1	2	1	0	3	2	7	1957	50	11	0	0
28	100	100	12984	22984	1	3	5	5	34	2	8	1983	24	15	0	0
28	100	100	12984	22984	1	4	5	5	7	2	11	1985	22	-9	0	-9
28	100	100	12984	22984	1	5	4	4	6	1	10	1988	19	-9	0	-9
28	100	100	12984	22984	1	6	4	4	6	1	1	1994	13	-9	0	-9
28	137	137	13019	23019	1	1	0	1	2	1	7	1957	50	-9	0	-9
28	137	137	13019	23019	1	2	1	0	3	2	8	1961	46	6	0	0
28	137	137	13019	23019	1	4	4	4	6	1	8	1985	22	-9	0	-9
11	194	194	11522	21522	1	3	5	5	7	2	1	1982	25	-9	0	-9
11	194	194	11522	21522	1	4	4	4	6	1	12	1989	17	-9	0	-9
11	194	194	11522	21522	1	5	5	5	7	2	5	1975	32	-9	0	-9
11	194	194	11522	21522	1	6	9	9	16	2	6	1999	8	-9	0	-9
11	194	194	11522	21522	1	7	8	8	15	1	9	2003	4	-9	0	-9
11	194	194	11522	21522	1	8	5	5	7	2	7	1977	30	-9	0	-9
11	194	194	11522	21522	1	9	9	9	16	2	7	2000	7	-9	0	-9
11	194	194	11522	21522	1	10	9	9	16	2	12	2006	0	-9	0	-9
11	194	194	11522	21522	1	11	5	5	34	2	3	1984	23	10	0	0
11	194	194	11522	21522	1	12	8	8	4	1	10	2007	0	-9	0	-9
11	88	88	11437	21437	1	1	0	1	2	1	1	1960	47	-9	0	-9
11	88	88	11437	21437	1	2	1	0	3	2	1	1963	44	6	0	0
11	88	88	11437	21437	1	3	4	4	34	1	7	1983	24	12	0	0
11	88	88	11437	21437	1	4	5	5	7	2	2	1986	21	-9	0	-9
