basebrgy	basehhno	basewman	BRGAY05	HHNUMB05	WOMAN05	MOMCH05	uncmomid	moperson	dayprson	yrperson	linenumb	relhead	relmom	relindex	paidcash	sex	monbirth	yearbirt	age	resident	gradecom	inschool	worknow	workpast
14	101	101	245	3419	101	1	12054	3	31	2005	2	1	0	3	-9	2	9	1953	51	1	10	0	0	0
14	101	101	245	3419	101	1	12054	3	31	2005	3	4	4	34	-9	1	11	1983	21	1	10	0	0	0
14	101	101	245	3419	101	1	12054	3	31	2005	4	5	5	7	-9	2	11	1985	19	1	12	1	0	0
14	101	101	245	3419	101	1	12054	3	31	2005	5	4	4	6	-9	1	6	1992	12	1	4	1	0	0
16	97	97	16	97	97	1	12228	3	9	2005	1	0	1	2	-9	1	8	1955	49	1	6	0	0	0
16	97	97	16	97	97	1	12228	3	9	2005	2	1	0	3	-9	2	11	1961	43	1	6	0	1	-9
16	97	97	16	97	97	1	12228	3	9	2005	3	5	5	7	-9	2	8	1980	24	1	6	0	1	-9
16	97	97	16	97	97	1	12228	3	9	2005	4	4	4	6	-9	1	1	1982	23	1	9	0	1	-9
16	97	97	16	97	97	1	12228	3	9	2005	5	5	5	34	-9	2	10	1983	21	1	11	0	1	-9
16	97	97	16	97	97	1	12228	3	9	2005	6	5	5	7	-9	2	11	1985	19	1	10	0	1	-9
16	97	97	16	97	97	1	12228	3	9	2005	7	4	4	6	-9	1	11	1990	14	1	6	1	0	0
16	97	97	16	97	97	1	12228	3	9	2005	8	4	4	6	-9	1	8	2002	2	1	-9	-9	-9	-9
14	44	44	14	44	44	1	12010	4	3	2005	1	0	0	3	-9	2	11	1955	49	1	13	0	1	-9
14	44	44	14	44	44	1	12010	4	3	2005	2	4	4	6	-9	1	6	1979	25	1	13	0	1	-9
14	44	44	14	44	44	1	12010	4	3	2005	3	4	4	6	-9	1	2	1982	23	1	15	0	1	-9
14	44	44	14	44	44	1	12010	4	3	2005	4	5	5	34	-9	2	8	1983	21	1	15	0	0	1
14	44	44	14	44	44	1	12010	4	3	2005	5	5	5	7	-9	2	8	1989	15	1	10	1	0	0
14	44	44	14	44	44	1	12010	4	3	2005	6	30	30	30	1	2	10	1984	20	1	3	0	-7	-7
16	162	162	16	162	162	1	12282	3	10	2005	1	0	1	2	-9	1	11	1953	51	1	12	0	1	-9
16	162	162	16	162	162	1	12282	3	10	2005	2	1	0	3	-9	2	6	1958	46	1	14	0	1	-9
16	162	162	16	162	162	1	12282	3	10	2005	3	4	4	6	-9	1	8	1981	23	1	12	0	1	-9
16	162	162	16	162	162	1	12282	3	10	2005	4	5	5	34	-9	2	3	1984	20	1	14	1	0	0
16	162	162	16	162	162	1	12282	3	10	2005	5	5	5	7	-9	2	2	1990	15	1	9	1	0	0
16	162	162	16	162	162	1	12282	3	10	2005	6	5	5	7	-9	2	9	1993	11	1	4	1	0	0
16	162	162	16	162	162	1	12282	3	10	2005	7	5	5	7	-9	2	1	2000	5	1	-9	-9	-9	-9
13	225	225	209	225	225	2	11755	2	26	2005	3	4	4	6	-9	1	3	1986	18	1	12	1	0	0
13	225	225	209	225	225	2	11755	2	26	2005	4	5	5	7	-9	2	11	1987	17	1	11	1	0	0
13	487	487	13	487	487	1	11956	1	10	2005	4	8	8	15	0	1	1	2000	4	1	-9	-9	-9	-9
13	225	225	209	225	225	2	11755	2	26	2005	5	4	4	6	-9	1	3	1990	14	1	9	1	0	0
